,Unid. da Federação,Renda per capita,Tem telefone móvel celular,Para acessar à Internet utiliza-se telefone celular,Tem microcomputador,Para acessar à Internet utiliza-se microcomputador,Tem tablet,Para acessar à Internet utiliza-se tablet,Tem acesso à Internet no próprio domicilio,O acesso à Internet é feito através de sinal de rede celular 3G ou 4G,O acesso à Internet é feito através de conexão discada por linha telefônica,O acesso à Internet é feito por banda larga
64876,MG,1900.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64877,MG,450.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64880,MG,890.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim
64883,MG,897.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim
64884,MG,119.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64885,MG,775.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
64888,MG,396.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim
64889,MG,262.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64892,MG,400.0,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim
64894,MG,525.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
64895,MG,466.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64898,MG,1033.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64900,MG,662.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64902,MG,51.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
64903,MG,433.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
64909,MG,497.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
64910,MG,412.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
64911,MG,494.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64931,MG,694.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
64935,MG,788.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
64937,MG,453.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
64939,MG,1150.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
64962,MG,1100.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
64964,MG,988.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
